algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.3590,9592,7
MergeSort,random,10000,6.9202,126737,10
MergeSort,random,100000,18.5384,1637599,13
MergeSort,random,1000000,208.8461,19886099,17
MergeSort,sorted,1000,0.0387,4236,7
MergeSort,sorted,10000,0.5628,59248,10
MergeSort,sorted,100000,4.6279,744016,13
MergeSort,sorted,1000000,68.9853,9071040,17
MergeSort,duplicates,1000,0.0683,9118,7
MergeSort,duplicates,10000,0.7860,121276,10
MergeSort,duplicates,100000,10.7298,1561296,13
MergeSort,duplicates,1000000,118.6105,18921456,17
QuickSort,random,1000,0.5175,15401,7
QuickSort,random,10000,2.6367,227824,8
QuickSort,random,100000,29.5701,2938343,12
QuickSort,random,1000000,235.2085,37475512,13
QuickSort,sorted,1000,0.0968,16754,6
QuickSort,sorted,10000,1.1293,228514,8
QuickSort,sorted,100000,14.1351,3092682,11
QuickSort,sorted,1000000,169.6682,37570159,13
QuickSort,duplicates,1000,0.0254,5374,2
QuickSort,duplicates,10000,0.2487,56883,2
QuickSort,duplicates,100000,2.7394,518208,3
QuickSort,duplicates,1000000,27.6290,4999690,3
QuickSelect,random,1000,0.0232,4034,0
QuickSelect,random,10000,0.2358,36126,0
QuickSelect,random,100000,3.3998,786150,0
QuickSelect,random,1000000,30.6112,5087480,0
QuickSelect,sorted,1000,0.0140,4908,0
QuickSelect,sorted,10000,0.1337,42296,0
QuickSelect,sorted,100000,1.0814,567800,0
QuickSelect,sorted,1000000,16.1538,5808276,0
QuickSelect,duplicates,1000,0.0189,2653,0
QuickSelect,duplicates,10000,0.1223,46029,0
QuickSelect,duplicates,100000,2.0330,299649,0
QuickSelect,duplicates,1000000,13.5601,1599931,0
